nodes,run,time
2,1,1.5899997379165143e-05
2,2,3.7999998312443495e-06
2,3,4.999994416721165e-06
2,4,3.0000010156072676e-06
2,5,2.5999979698099196e-06
2,6,1.5999976312741637e-06
2,7,3.1999952625483274e-06
2,8,6.999980541877449e-07
2,9,6.099995516706258e-06
2,10,2.9000002541579306e-06
5,1,4.199999966658652e-05
5,2,4.549999721348286e-05
5,3,4.980000085197389e-05
5,4,4.030000127386302e-05
5,5,4.839999746764079e-05
5,6,2.7999994927085936e-05
5,7,4.859999899053946e-05
5,8,5.329999839887023e-05
5,9,2.7400004910305142e-05
5,10,5.2900002629030496e-05
10,1,0.00034330000198679045
10,2,0.000447900005383417
10,3,0.0003941999966627918
10,4,0.0005431999961729161
10,5,0.0002933999930974096
10,6,0.0002870999960578047
10,7,0.0005009000014979392
10,8,0.0003752999982680194
10,9,0.00023640000290470198
10,10,0.0003482999964035116
20,1,0.002088599998387508
20,2,0.0012758000011672266
20,3,0.0034446999998181127
20,4,0.0026406999968457967
20,5,0.0033566999991307966
20,6,0.00298099999781698
20,7,0.0040675999989616685
20,8,0.002733599998464342
20,9,0.003090500002144836
20,10,0.0021125999992364086
30,1,0.011099199997261167
30,2,0.011172799997439142
30,3,0.014775299998291302
30,4,0.010229600004095118
30,5,0.010446599997521844
30,6,0.012121499996283092
30,7,0.009286200001952238
30,8,0.013246099995740224
30,9,0.010808099999849219
30,10,0.01123139999981504
